Emp ID,Name,DOB,SSN,State
260,Sheri Hamilton,1986-03-12,323-01-9319,New Hampshire
547,Craig Strickland,1968-02-27,618-88-3498,North Dakota
28,Brandon Hall,1969-09-30,787-99-6416,Alaska
486,Karla Adams,1962-11-18,134-28-7524,Vermont
300,Ernest Washington,1990-07-15,620-77-9800,Florida
501,John Owens,1989-05-15,220-27-7554,Montana
584,Roberto Farmer,1968-05-04,567-63-3936,Louisiana
453,Tom Bailey,1980-01-24,879-46-1663,Iowa
16,Jennifer White,1966-01-17,748-97-1698,Michigan
185,Courtney Mendez,1961-11-25,342-58-8268,Nebraska
223,Jasmine Miller,1971-05-13,014-69-2427,Maryland
290,Amy Bryan,1969-06-24,064-94-2636,California
71,Melvin Pruitt,1994-05-06,095-27-4970,Alaska
73,Amanda Carrillo,1957-10-25,102-77-8942,Mississippi
549,Anthony Nguyen,1987-03-10,491-26-6484,North Dakota
359,Kaitlyn Charles,1965-11-23,792-34-7712,New Hampshire
631,Rebecca Pollard,1977-03-17,217-17-9010,Florida
585,James Jackson,1987-09-02,458-49-8491,Maine
641,Gina Jones,1964-02-05,324-84-3596,Hawaii
564,Tyler Woodward,1983-05-06,156-67-7298,Kansas
149,Hannah Schultz,1984-12-28,890-38-7228,New York
430,Anthony Sims,1976-04-20,747-10-1311,Connecticut
587,Jessica Wallace,1981-05-02,059-30-7152,Wisconsin
420,Jonathan Pearson,1980-01-03,125-92-7840,Vermont
625,Richard Hunt,1987-09-17,718-77-9513,Indiana
319,Madison Ballard,1966-03-11,576-77-3750,Delaware
18,Kathryn Blair,1993-08-07,393-75-8028,Georgia
535,Kristina Patterson,1958-03-28,618-80-5885,Connecticut
417,Kathryn Bryant,1957-04-09,439-47-8017,Colorado
391,Jerry Ayala,1982-03-02,223-24-9737,Washington
274,Karen Rodriguez,1994-07-30,057-45-3813,Connecticut
270,Daniel Jacobs,1972-04-24,279-96-6724,Texas
537,Stephanie Campbell,1968-08-30,163-80-3547,Tennessee
341,Michael Pacheco,1977-04-29,685-31-6378,Louisiana
402,Steven Garcia,1991-04-01,006-04-9437,Montana
476,Brenda Hall,1957-07-15,740-56-7869,Texas
367,Rhonda Smith,1969-06-27,373-45-5595,Maine
407,Tracy Francis,1960-01-26,632-97-8950,Vermont
280,Dawn Fernandez,1981-04-14,526-07-9216,Nebraska
524,Matthew Wells,1958-08-29,241-85-2780,Florida
57,Joel Walker,1979-09-20,261-53-6637,Florida
312,Paula Shea,1978-08-15,091-50-1746,Ohio
649,Paul Bell,1976-05-23,027-68-7411,Wisconsin
488,Frederick Roberson,1978-01-02,830-16-0114,Michigan
139,Melissa Armstrong,1959-03-17,687-67-9454,Oregon
412,Jennifer Alexander,1969-01-15,213-74-9026,Alaska
5,Cassandra Perez,1986-09-02,021-28-1151,Illinois
153,Anthony Austin,1965-12-17,645-42-9162,Wisconsin
321,Cynthia Jones,1976-08-11,360-54-3428,Rhode Island
541,Oscar Bernard,1990-04-07,191-69-5243,Illinois
406,Amanda Hendrix,1980-11-19,294-27-7721,Arkansas
204,Vincent Henry,1961-08-22,446-65-5624,Utah
567,Lauren Bush,1976-12-19,523-18-3299,Georgia
187,Stacey Bates,1961-06-17,780-13-1470,California
460,Amanda Khan,1971-04-16,328-79-9388,Nebraska
212,Amanda Sutton,1973-12-07,399-25-2368,Arkansas
617,Joshua Li,1992-03-20,580-04-6050,Idaho
353,Becky Kennedy,1987-04-05,737-98-4807,Michigan
383,Laura Espinoza,1978-09-04,635-60-5712,Florida
91,Joshua Murphy,1970-12-31,379-74-7318,Wisconsin
429,Randall Bowen,1969-04-11,479-31-0666,Texas
40,Michelle Pham,1979-07-31,510-25-2595,South Carolina
298,Emily Thomas,1974-07-10,703-31-6906,Rhode Island
400,Jessica Kelley,1976-12-15,346-41-4271,Kentucky
480,Jeffrey Brown,1968-12-23,714-90-7392,Washington
375,Jennifer Keith,1990-11-24,749-06-2614,Arkansas
626,Joshua Romero,1979-10-14,221-21-4169,New Mexico
97,Frank Walker,1976-12-13,874-56-5611,Arizona
291,Cody Lindsey,1965-01-29,860-65-8099,Alabama
614,Cody Baker,1979-03-09,456-54-5896,Vermont
552,Jaclyn Wall,1985-12-13,014-30-5336,South Dakota
338,Kaitlyn Roy,1965-06-15,854-73-0939,Minnesota
513,Allison Lee,1994-04-04,267-45-8932,Utah
231,Heather Patterson,1969-06-08,114-66-2886,West Virginia
443,Carrie Thomas,1980-08-08,803-52-8236,Massachusetts
140,David Gutierrez,1967-08-14,179-44-9234,Nebraska
96,Harold Robinson,1965-08-20,067-87-7098,New Mexico
531,Alex Graham,1978-11-27,698-33-6911,Kentucky
403,Steven Thompson,1978-01-01,555-61-0637,New Jersey
580,Barbara Martin,1971-11-11,460-83-5120,Nebraska
113,Theresa Cochran,1976-02-23,774-88-2404,Iowa
289,Michael Madden,1964-09-05,431-73-2946,Colorado
247,Brian Chase,1989-05-01,590-10-3628,Arizona
472,Carolyn Rodriguez,1962-11-16,327-51-2185,Rhode Island
582,Breanna Williams,1994-06-03,257-97-8593,North Carolina
265,Anne Cook,1981-11-11,499-21-8560,New York
281,Tara Bowers,1975-09-22,742-78-7048,New York
330,Joyce Hall,1980-10-10,701-37-4819,Virginia
372,Sydney George,1959-01-24,718-29-8264,Florida
628,Lindsay Williams,1977-09-19,734-95-4792,Nevada
445,Darrell Thomas,1986-03-14,535-82-2653,Utah
316,Thomas Knight,1965-08-07,545-38-2441,New Jersey
499,Carolyn Diaz,1991-04-20,105-95-2117,Delaware
528,Karen Ball,1986-04-13,649-62-9411,North Dakota
242,Ronald Richardson,1988-04-20,865-29-6742,Georgia
632,Donna Williams,1986-09-01,223-16-3144,Mississippi
313,Molly Wright,1991-02-23,507-49-7938,Washington
89,Jeffrey Mcintyre,1974-06-02,265-42-8359,Kansas
130,Tabitha Parks,1975-01-19,290-37-8386,Iowa
3,Melissa Padilla,1982-12-08,665-02-9382,Montana
586,George Harris,1979-11-15,111-98-2111,Arizona
355,Cheryl Hancock,1993-09-03,521-93-2522,Idaho
532,Jeffrey Paul,1972-01-12,343-46-0457,Montana
326,Wendy Jones,1979-04-20,864-30-4078,New York
225,Elizabeth Johnson,1981-12-01,380-97-8375,Arkansas
191,Charles Green,1990-05-22,786-80-9288,South Carolina
444,Jeffrey Cooper,1970-12-14,147-37-7671,Maryland
490,Judith Brooks,1971-01-25,245-34-6779,Indiana
609,Amanda Ramsey,1971-04-10,741-36-2683,South Carolina
47,Stephen Oliver,1984-12-27,145-82-5500,California
508,Nancy Rodriguez,1988-02-13,613-76-1027,Maryland
388,Joshua Powers,1971-05-13,663-05-4897,Florida
331,Lisa Stein,1980-02-07,800-85-2075,California
264,Jessica Martin,1967-08-18,189-67-8568,Nevada
589,George Hardy,1990-04-17,787-04-4162,New Mexico
278,Jonathan Carney,1990-11-08,255-67-0506,Colorado
526,Carol Robertson,1959-02-01,699-48-6248,Illinois
205,Susan Zhang,1983-03-18,443-61-5874,Connecticut
199,Christopher Cameron,1969-08-30,872-37-1053,New York
550,Paul Ramsey,1990-05-14,214-03-6565,Maryland
103,David Torres,1971-03-26,868-70-5176,Mississippi
465,Barbara Roberts,1993-10-22,652-67-9440,Kansas
348,Nicholas Dunn,1985-05-22,771-91-1196,Maryland
158,John Long,1966-10-09,518-31-8394,Nebraska
361,Shelby Porter,1992-01-09,446-69-7391,Maine
610,Judith Robinson,1973-08-29,047-39-3792,Florida
235,Justin Holt,1969-09-19,867-72-2854,Wyoming
442,Laura Valdez,1988-09-14,433-54-2068,Illinois
215,Jesse Rosales,1989-12-29,890-51-0642,West Virginia
17,Amy Duran,1992-04-02,518-94-5581,Minnesota
363,Joshua Williams,1976-11-06,698-57-1375,Indiana
438,Robert Davis,1986-03-28,121-17-0776,Nebraska
111,Lisa Houston,1966-06-27,337-50-5946,Ohio
396,Timothy Williams,1978-11-27,402-11-5842,Illinois
255,Kim Finley,1973-03-09,849-06-6351,South Carolina
226,Andrew Lopez,1962-06-11,526-76-7248,Tennessee
652,Veronica Herrera,1958-10-22,337-88-4723,Iowa
64,Bob Murphy,1982-01-14,751-77-8100,South Dakota
415,Timothy Duncan,1977-09-25,660-93-7493,Indiana
354,David Sandoval,1985-11-26,292-04-6963,West Virginia
517,Tony Graves,1980-10-19,276-82-5360,Idaho
292,Andrea Fuller,1981-07-17,437-94-0698,Washington
579,William Carney,1974-06-16,268-62-3440,Wyoming
181,Daniel Dominguez,1992-11-15,161-73-9595,Kentucky
556,David Franco,1983-10-30,281-76-2451,New York
351,Justin Ortiz,1961-01-29,211-12-6761,Alaska
405,Sara Jarvis,1964-07-23,393-24-3953,West Virginia
647,Adam Green,1988-05-09,047-55-5674,Tennessee
646,Debra Flores,1969-04-02,466-93-7111,Kansas
79,Jennifer Adams,1988-12-04,104-19-1210,Rhode Island
371,Lori Sosa,1988-06-14,671-78-7062,Michigan
542,Cory Mora,1985-03-27,406-86-0325,Nevada
261,Denise Hughes,1966-09-20,329-15-7879,Utah
368,Anthony Jenkins,1957-09-05,713-25-0437,Massachusetts
439,Leonard Soto,1986-10-17,162-09-1991,Nebraska
82,Donald Todd,1960-07-16,067-88-6930,Michigan
431,Christopher Long,1979-08-24,710-77-2737,Vermont
155,Donald Pierce,1976-02-27,207-92-1562,New Jersey
189,Matthew Sullivan,1986-02-25,416-95-6697,Mississippi
393,Brianna Stevens,1965-06-11,814-62-4666,Montana
451,Jacqueline Villegas,1981-02-13,429-08-8948,South Carolina
22,Mary Diaz,1964-02-18,393-59-8701,Georgia
470,Steven Taylor,1985-12-01,755-10-1803,New Hampshire
384,Edward Jimenez,1980-08-19,567-95-1355,Kentucky
7,John Joseph,1992-01-07,224-47-0413,Pennsylvania
258,Jared Fletcher,1977-07-16,602-32-9304,Vermont
568,Kathleen Hill,1970-02-04,002-16-3356,New Hampshire
56,Johnny Warner,1965-08-16,085-69-4164,New Hampshire
621,Frank Smith,1971-02-08,479-57-1100,Illinois
49,Stephanie Thompson,1957-03-26,344-06-6249,Rhode Island
397,Angela Cannon,1992-09-13,745-69-3459,Kansas
36,Trevor Robinson,1967-04-26,043-69-3462,West Virginia
33,Gregory Powers,1969-05-19,385-64-8879,Kansas
224,Michael Sparks,1982-11-03,872-05-6809,North Carolina
634,George Flores,1989-01-31,660-52-0195,Iowa
144,Michael Hall,1986-01-22,061-68-0161,Arizona
491,Susan Williamson,1973-05-27,730-88-0355,Indiana
309,Luis Norton,1988-05-11,388-67-6955,Wisconsin
211,Victoria Pearson,1990-03-07,193-24-5518,North Dakota
475,Roger Nichols,1976-01-13,645-70-4515,Oregon
493,Jenny Mills,1983-11-10,064-04-1434,Wisconsin
128,Joshua Moore,1965-09-30,754-69-8369,Pennsylvania
262,James Carr,1979-02-25,715-41-8546,Alabama
597,David Lane,1974-04-21,532-28-4614,Minnesota
325,Beth Reese,1961-04-30,748-34-1223,Pennsylvania
573,Lindsay Thompson,1986-09-24,057-31-1306,Kansas
55,Amber Taylor,1982-04-27,101-80-6610,New York
132,Oscar Yates,1977-04-03,139-68-0620,Illinois
401,Anthony Cooper,1994-06-04,609-69-2490,California
483,Tracie Harrison,1983-07-01,275-09-7833,Delaware
424,Corey Herrera,1970-11-08,295-81-3228,Oregon
188,Anthony Kim,1981-11-04,342-25-7043,Wyoming
272,Kendra Marshall,1967-09-11,615-65-2658,Indiana
545,Debbie Chang,1993-02-17,644-76-8022,Pennsylvania
193,Miranda Simmons,1964-03-27,760-20-2359,Illinois
593,Catherine Murphy,1968-08-11,737-70-6401,Rhode Island
463,Nicholas Shelton,1984-06-07,711-43-0704,Georgia
334,Laura Winters,1969-07-05,412-53-4775,Georgia
596,Jill Barr,1983-04-07,085-07-7889,Minnesota
373,Lauren Ritter,1970-12-26,706-59-7600,Kansas
635,Anthony Short,1986-06-07,741-53-6004,Wyoming
315,Patrick Yates,1967-05-07,516-32-4036,North Carolina
120,Brett Mitchell,1976-01-20,162-71-8337,Wisconsin
110,Andrea Boone,1983-02-05,412-37-1089,Colorado
68,Charles Alvarez,1993-02-01,879-74-5142,Montana
14,Jeff Garner,1978-12-21,524-11-2191,Massachusetts
200,Natalie Williams,1971-06-14,530-26-2753,Massachusetts
62,Tracy King,1969-11-17,283-38-0822,North Carolina
263,Michael Huang,1990-02-14,872-82-6162,South Carolina
257,Ray Miller,1968-03-09,788-31-5774,California
61,Tracey Powers,1976-04-28,115-30-5107,Wyoming
107,Alexander Moore,1992-07-05,212-86-4136,Hawaii
322,Lisa Fisher,1977-01-05,735-25-4670,New Mexico
2,Tamara Gentry,1987-04-03,669-93-7430,South Carolina
81,Christopher Fitzgerald,1992-04-19,493-25-7096,Massachusetts
337,Jose Olson,1991-01-20,277-01-7256,Pennsylvania
93,Carrie Wallace,1966-02-07,439-21-8007,Georgia
366,Crystal Smith,1991-04-30,537-27-6884,New York
287,Caroline Edwards,1959-10-20,246-48-7816,Nevada
66,Carol Baker,1959-08-01,227-40-8196,Oregon
243,Alexandra Ward,1973-12-27,183-27-3414,Arkansas
603,Krystal Townsend,1990-05-15,026-74-6839,Arizona
277,Melanie Elliott,1976-06-21,154-81-2869,Minnesota
583,Tracey Barajas,1973-01-09,010-89-9722,Arkansas
268,Eric Barker,1976-12-09,617-54-2136,Georgia
234,Olivia Elliott,1991-09-15,351-59-7631,New Mexico
320,Daniel Reed,1969-12-24,862-32-3333,New Jersey
461,Roberto Pierce,1964-07-03,573-41-9982,Missouri
232,Lawrence Stewart,1987-06-15,549-28-1303,Missouri
13,Michael Snow,1965-02-17,129-08-2820,Kansas
108,Ashley Cruz,1973-09-09,728-91-3168,Massachusetts
216,Jesus Hobbs,1975-12-10,812-72-2648,Mississippi
304,Jody Riley,1978-01-08,426-61-6681,Connecticut
94,Joseph Scott,1993-11-23,836-87-4445,Maryland
171,Eric Sullivan,1993-01-05,225-47-8141,South Carolina
466,Christopher Cervantes,1975-11-09,673-34-7919,Vermont
498,Jennifer Leon,1959-02-03,766-19-2413,Arkansas
180,Victor Fuentes,1957-12-07,773-58-5844,Washington
9,Christine Marshall,1972-12-05,271-77-6538,Alabama
170,Amanda Garcia,1961-12-03,453-36-1013,New Jersey
172,Nancy Holloway,1983-03-13,246-82-4965,Alaska
46,Kimberly Banks,1990-07-03,808-01-7861,Arizona
576,Laura King,1971-06-04,629-67-5040,Arizona
11,Robert Mendoza,1982-04-23,855-95-0627,Iowa
80,Jessica Black,1981-12-11,532-57-6296,Kentucky
77,Cynthia Duffy,1990-07-08,293-88-0500,North Carolina
555,Aaron Henry,1978-10-15,090-70-3379,Michigan
95,Autumn Peterson,1965-01-02,537-45-9763,Oklahoma
595,Danielle Murphy,1963-08-15,205-60-0413,Texas
543,Deborah Hoffman,1986-10-20,755-03-9690,Montana
227,Kathy Palmer,1972-07-19,312-08-3934,Arkansas
572,Tim Smith,1967-04-22,681-85-8047,North Carolina
387,Renee Campbell,1970-11-09,544-32-2594,Missouri
380,Bryan Mcdaniel,1959-04-19,033-02-4659,Florida
203,Rhonda Flores,1974-12-13,280-87-3754,West Virginia
636,Jonathan Wright,1963-06-17,328-28-8490,Missouri
256,Sydney King,1977-01-12,304-26-5923,Florida
85,Janet Gonzales,1972-12-08,348-66-0243,Utah
520,Steve Russell,1978-08-19,715-22-9820,Washington
233,Craig Pennington,1957-12-25,156-21-8248,North Dakota
410,Andrew Thomas,1963-04-11,767-64-7838,Massachusetts
485,Miguel Woods,1992-06-10,672-61-1852,Maine
630,Samuel Anderson,1969-03-02,667-87-9480,South Carolina
295,Cynthia Clarke,1962-05-29,206-17-8148,Massachusetts
487,Adam Mcgrath,1960-06-20,015-05-3185,Alaska
616,Courtney Oconnell,1984-04-03,392-89-3672,South Dakota
435,Brandon Hudson,1966-08-07,595-28-4780,Illinois
349,Rachel Lewis,1985-02-06,450-59-5213,Georgia
557,Manuel Rodriguez,1981-03-07,799-07-0042,Washington
425,Gregory Wilkinson,1984-08-23,425-53-6395,North Carolina
273,Donna Lopez,1962-08-03,103-73-6360,New Hampshire
69,David Scott,1992-03-10,062-52-0749,Mississippi
571,Gregory Maxwell,1977-11-21,156-46-7057,Nevada
169,Daniel Wilkins,1975-09-24,570-69-4870,Mississippi
495,Jonathan Henry,1989-06-08,888-02-2026,Montana
350,Heather Shepherd,1984-09-17,461-10-2527,Washington
395,Cindy Munoz,1986-10-30,795-43-0435,New Hampshire
75,Dalton Bowman,1977-12-24,453-05-8792,Maine
244,Jon Clark,1967-06-18,351-25-8771,Tennessee
509,Amber Meyer,1983-09-04,599-25-5604,Louisiana
339,Steven Madden,1972-06-18,813-09-9767,Indiana
534,Victoria Lewis,1971-01-04,362-95-6283,Washington
419,Karl Dudley,1974-12-14,864-78-6649,Texas
386,Alicia Stone,1966-12-24,739-83-8324,Colorado
328,Max Mckay,1960-08-17,431-98-4918,South Carolina
612,Richard Brown,1979-06-30,518-81-0117,Montana
502,Heather Case,1971-12-22,691-75-1698,Arkansas
390,Amy Gonzalez,1965-10-12,627-70-2150,Utah
404,Brandon Armstrong,1973-12-12,423-27-5658,Arizona
159,Terrance Ewing,1981-01-15,315-12-5340,Virginia
115,Jessica Boyd,1960-04-27,373-21-9784,Virginia
422,Corey Taylor,1966-03-09,753-90-4578,Mississippi
250,Frank Blankenship,1958-11-17,482-20-3591,Mississippi
638,Monica Montgomery,1975-10-14,021-57-3158,Mississippi
414,Tammy Patrick,1961-09-07,439-17-7381,New Mexico
127,Corey Sawyer,1982-08-13,095-95-9114,Delaware
440,Linda Anthony,1994-01-23,115-31-7298,South Dakota
594,Travis Patrick,1967-10-12,017-91-7968,Tennessee
114,Linda Davis,1975-08-08,775-39-0620,Connecticut
109,Anthony Adams,1962-02-09,875-08-1396,Vermont
515,Christopher Johnson,1959-11-03,222-90-5547,Connecticut
31,Tracy Austin,1980-08-06,709-79-1904,Rhode Island
605,Matthew Woodward,1978-03-26,071-09-6667,Idaho
421,Donna Cole,1973-01-19,581-96-3401,New York
536,Alexis Allen,1963-08-11,804-16-6449,Tennessee
267,Stephen Parker,1967-03-18,508-61-9288,Colorado
210,Nicole Johnson,1963-05-01,314-33-0265,Pennsylvania
560,Daniel Green,1976-06-16,153-73-7915,Alaska
302,Dylan Adams,1966-04-16,343-46-4597,Colorado
640,Jason Davis,1970-06-06,654-58-5627,Louisiana
449,Jennifer Conrad,1973-10-08,131-63-2874,Wyoming
202,Stephen Dawson,1985-06-30,113-04-5741,Arizona
168,Douglas Smith,1981-04-07,652-93-9028,Massachusetts
119,Diane Gray,1968-10-26,499-92-1654,Hawaii
613,Benjamin Gordon,1974-07-26,470-96-3940,Colorado
473,Stephanie Miller,1983-09-08,170-37-8885,Louisiana
615,Lynn Stout,1973-09-17,705-73-6531,Maine
10,Malik Scott,1958-02-02,766-84-4261,Idaho
86,David Brown,1973-07-28,423-44-5706,Oklahoma
500,Nathan Jenkins,1968-01-11,279-01-6468,Wisconsin
38,Maria Bryant,1970-07-17,553-05-3505,Massachusetts
633,Michael Griffin,1963-09-15,173-02-4120,Washington
530,Nathan Smith,1979-04-17,239-54-9334,California
177,James Jackson,1958-06-01,867-20-4595,California
266,Erika Jones,1977-02-02,777-40-1552,Alabama
4,Stephanie Leon,1967-04-06,364-10-0580,Delaware
12,Anthony Walker,1969-12-25,532-20-5284,Rhode Island
477,Richard Brooks,1962-10-17,061-01-5295,Kentucky
575,Matthew Bishop,1973-06-10,432-55-9588,New Jersey
37,Anthony Thompson,1990-10-04,281-96-1051,Massachusetts
360,Justin Garcia,1961-09-21,636-67-6120,North Carolina
134,Miguel Garcia,1964-12-21,341-90-5477,Ohio
416,Jeffrey Randolph,1976-09-24,459-89-2699,Indiana
45,Raymond Tran,1957-04-09,409-49-8575,Florida
441,Brandon Webb,1966-09-10,462-03-8353,Utah
323,Brandon Petersen,1982-07-06,069-09-1657,Tennessee
58,Bryce Ball,1994-07-03,599-98-1674,Arizona
639,Blake Watkins,1973-02-25,207-67-0572,North Carolina
484,Gregory Morales,1960-08-21,221-92-5605,Colorado
50,Alyssa Wall,1964-08-24,277-84-2643,Washington
533,Cynthia Garcia,1960-11-11,553-04-2024,Idaho
611,Amber Williams,1969-12-03,425-23-7515,New Mexico
563,Steve Stark,1957-07-02,695-80-7390,Michigan
562,Charles Baird,1968-02-29,460-89-2710,Florida
559,Mackenzie Hall,1990-02-28,715-66-6862,Alabama
481,Aaron King,1964-05-29,760-94-8792,South Dakota
195,Joshua Perez,1984-02-08,361-39-1226,Georgia
186,Alexander Valdez,1975-10-24,426-12-7833,North Dakota
160,Ashley Santos,1983-06-18,242-96-4884,Alabama
143,Joshua Stephens,1988-04-11,667-51-9528,Vermont
492,Steven Long,1994-08-18,886-15-4594,Texas
6,Jack Jackson,1975-07-05,649-66-4734,New York
88,Roberto Leonard,1992-01-20,605-26-8779,Massachusetts
161,Michael Park,1981-06-05,521-79-4033,New Mexico
83,Carl Reeves,1965-12-11,600-56-8325,Louisiana
254,Paul Lee,1976-07-22,144-04-7697,Indiana
464,Kathryn Ramirez,1960-08-04,631-46-0099,Ohio
284,Daniel Medina,1973-10-31,486-97-8215,Mississippi
25,Jesse Gomez,1961-01-30,296-37-3664,South Carolina
218,Brandon Good,1991-08-01,186-85-5586,Virginia
99,Sandra Suarez,1974-06-08,750-33-7890,Georgia
356,Jeffrey Stevenson,1957-12-07,382-94-3851,Connecticut
317,Richard Mcdonald,1957-02-21,631-87-8008,North Dakota
229,Joanna Castillo,1984-03-07,296-96-1576,Indiana
581,Angelica Reyes,1992-06-06,721-94-7139,Arkansas
452,Jennifer Wright,1976-03-06,827-76-3901,New Mexico
518,James Porter,1957-06-30,278-06-1319,California
479,Krystal Brown,1961-01-31,151-43-8909,Texas
